Nr.crt.,Numar Anunt,Data Publicare,Denumire Autoritate contractanta,CUI,Judet,Tip Contract,Utilitati,Tip Procedura,Criteriu Atribuire,Valoare Estimata,Moneda,Modalitate Desfasurare,Trimis la OJEU,Fonduri Comunitare,Cod CPV,Denumire Cod CPV
3266,159812,26.05.2015 15:43,"SNTFC ""CFR CALATORI"" S.A.",RO 11054545,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"240,134.00",RON,Offline,NU,NU,85147000-1,Servicii de medicina muncii (Rev.2)
3267,159818,26.05.2015 15:44,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"425,833.00",RON,Online,NU,NU,66113000-5,Servicii de acordare de credit (Rev.2)
3268,159819,26.05.2015 15:45,SC. HARVIZ SA,24499588,Harghita,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"1,157,063.00",RON,Offline,NU,NU,66113000-5,Servicii de acordare de credit (Rev.2)
3269,159844,27.05.2015 01:30,UNIVERSITATEA TEHNICA GHEORGHE ASACHI DIN IASI,4701606,Iasi,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"3,364,243.00",RON,Offline,DA,DA,48900000-7,Diverse pachete software si sisteme informatice (Rev.2)
3270,159782,27.05.2015 01:30,SPITALUL JUDETEAN DE URGENTA VASLUI,3551942,Vaslui,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"6,683,223.53",RON,Online,DA,NU,33673000-8,Medicamente impotriva maladiilor obstructive ale cailor respiratorii (Rev.2)
3271,159808,27.05.2015 01:30,Institutul Regional de Oncologie Iasi,29067408,Iasi,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"4,329,468.00",RON,Offline,DA,NU,50421200-4,Servicii de reparare si de intretinere a echipamentului radiologic (Rev.2)
3272,159813,27.05.2015 01:30,DRUMURI SI PODURI JUDETENE CLUJ SA,RO 253348,Cluj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"5,220,659.25",RON,Offline,DA,NU,66114000-2,Servicii de leasing financiar (Rev.2)
3273,159839,27.05.2015 01:30,"SNTFC ""CFR CALATORI"" S.A.",RO 11054545,Bucuresti,Furnizare,DA,Negociere,Pretul cel mai scazut,"54,500,000.00",RON,Offline,DA,NU,09134200-9,Motorina (Rev.2)
3274,159817,27.05.2015 01:30,"Institutul de Boli Infectioase ""Prof. Dr. Matei Bals""",9524980,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"1,640,250.00",RON,Offline,DA,NU,33651400-2,Antivirale pentru uz sistemic (Rev.2)
3275,159785,27.05.2015 01:30,SPITALUL JUDETEAN DE URGENTA TARGOVISTE,4206845,Dambovita,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"7,436,608.98",RON,Offline,DA,NU,33651400-2,Antivirale pentru uz sistemic (Rev.2)
3276,159811,27.05.2015 01:30,MUZEUL BUCOVINEI,4244628,Suceava,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"1,217,416.28",RON,Offline,DA,NU,92521000-9,Servicii prestate de muzee (Rev.2)
3277,159783,27.05.2015 01:30,"Spitalul Clinic Judetean de Urgenta""Sfantul Apostol Andrei""",3126853,Galati,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"32,947,112.40",RON,Online,DA,NU,33652100-6,Antineoplazice (Rev.2)
3278,159802,27.05.2015 01:30,Directia Generala de Asistenta Sociala si Protectia Copilului Sector 2,17093691,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"793,365.53",RON,Offline,DA,NU,33751000-9,Scutece de unica folosinta (Rev.2)
3279,159815,27.05.2015 01:30,"SPITALUL JUDETEAN DE URGENTA ""SF. PANTELIMON"" FOCSANI",4350505,Vrancea,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"1,243,600.00",RON,Online,DA,NU,33696200-7,Reactivi pentru analize de sange (Rev.2)
3280,159830,27.05.2015 01:30,REGIA AUTONOMA AEROPORT CRAIOVA,RO 10300854,Dolj,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"1,451,612.00",RON,Offline,DA,NU,34121400-5,Autobuze cu podea joasa (Rev.2)
3281,159838,27.05.2015 01:30,Aquaserv S.A.,RO 16775941,Tulcea,Servicii,DA,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"14,657,551.00",RON,Offline,DA,DA,71322000-1,Servicii de proiectare tehnica pentru constructia de lucrari publice (Rev.2)
3282,159822,27.05.2015 01:30,APAREGIO GORJ S.A.,RO20415711,Gorj,Lucrari,DA,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"12,015,900.00",RON,Offline,DA,DA,45000000-7,Lucrari de constructii (Rev.2)
3283,159793,27.05.2015 01:30,DIRECTIA GENERALA DE ASISTENTA SOCIALA A MUNICIPIULUI BUCURESTI,15531230,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"3,020,400.00",RON,Online,DA,NU,15500000-3,Produse lactate (Rev.2)
3284,159807,27.05.2015 01:30,"Spitalul Clinic Judetean de Urgenta""Sfantul Apostol Andrei""",3126853,Galati,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"1,656,000.00",RON,Online,DA,NU,33651610-7,"Vaccinuri impotriva difteriei, antitusive si antitetanos (Rev.2)"
3285,159798,27.05.2015 01:30,Regia Autonoma Administratia Patrimoniului Protocolului de Stat Bucuresti,RO 2351555,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"120,000.00",RON,Offline,DA,NU,44100000-1,Materiale de constructii si articole conexe (Rev.2)
3286,159842,27.05.2015 01:30,UNIVERSITATEA TEHNICA GHEORGHE ASACHI DIN IASI,4701606,Iasi,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"939,850.00",RON,Offline,DA,DA,38545000-7,Echipamente de analiza a gazelor (Rev.2)
3287,159821,27.05.2015 12:59,SPITALUL CLINIC JUDETEAN DE URGENTA SIBIU,4240898,Sibiu,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"582,920.00",RON,Online,NU,NU,33696200-7,Reactivi pentru analize de sange (Rev.2)
3288,159826,27.05.2015 13:04,"Compania Nationala de Cai Ferate ""CFR"" - SA",RO 11054529,Bucuresti,Lucrari,DA,Licitatie deschisa,Pretul cel mai scazut,"275,495.00",RON,Offline,NU,NU,45234115-5,Lucrari de semnalizare feroviara (Rev.2)
3289,159835,27.05.2015 13:12,COMPANIA NATIONALA DE AUTOSTRAZI SI DRUMURI NATIONALE DIN ROMANIA SA,16054368,Bucuresti,Lucrari,NU,Licitatie deschisa,Pretul cel mai scazut,"5,010,693.83",RON,Offline,NU,NU,45233140-2,Lucrari de drumuri (Rev.2)
3290,159850,27.05.2015 13:32,"Compania Nationala de Cai Ferate ""CFR"" - SA",RO 11054529,Bucuresti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"343,763.70",RON,Offline,NU,NU,34940000-8,Echipament feroviar (Rev.2)
3291,159825,27.05.2015 13:47,Societatea Nationala de Gaze Naturale Romgaz S.A.,RO 14056826,Sibiu,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"166,400.00",RON,Offline,NU,NU,71320000-7,Servicii de conceptie tehnica (Rev.2)
3292,159827,27.05.2015 13:57,TERMO CRAIOVA SRL,RO 30818118,Dolj,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"1,367,496.76",RON,Offline,NU,NU,71632000-7,Servicii de testare tehnica (Rev.2)
3293,159828,27.05.2015 13:57,Societatea Comerciala COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"37,307.00",RON,Offline,NU,NU,79421200-3,"Servicii de elaborare de proiecte, altele decat pentru lucrarile de constructie (Rev.2)"
3294,159829,27.05.2015 13:58,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"32,130.00",RON,Offline,NU,NU,35330000-6,Munitie (Rev.2)
3295,159833,27.05.2015 14:16,Societatea Comerciala COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"89,658.87",RON,Offline,NU,NU,71630000-3,Servicii de inspectie si testare tehnica (Rev.2)
3296,159836,27.05.2015 14:19,Filiala de Distributie a Energiei Electrice  ELECTRICA  DISTRIBUTIE TRANSILVANIA NORD S.A.,RO14476722,Cluj,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"679,100.00",RON,Offline,NU,NU,30213000-5,Computere personale (Rev.2)
3297,159848,27.05.2015 14:22,Societatea Comerciala COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"8,807.00",RON,Offline,NU,NU,50532000-3,Servicii de reparare si de intretinere a masinilor si aparatelor electrice si a echipamentului conex (Rev.2)
3298,159862,27.05.2015 14:41,UNIVERSITATEA DUNAREA DE JOS,3127522,Galati,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"15,290.00",RON,Offline,NU,DA,39717200-3,Aparate de aer conditionat (Rev.2)
3299,159840,27.05.2015 14:47,Aquaserv S.A.,RO 16775941,Tulcea,Servicii,DA,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"1,300,222.00",RON,Offline,NU,DA,71323100-9,Servicii de proiectare a sistemelor de energie electrica (Rev.2)
3300,159823,28.05.2015 01:30,SPITALUL UNIVERSITAR DE URGENTA ELIAS,4192537,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"968,508.00",RON,Online,DA,NU,15000000-8,"Alimente, bauturi, tutun si produse conexe (Rev.2)"
3301,159841,28.05.2015 01:30,CN Aeroporturi Bucuresti SA,RO26490194,Ilfov,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"600,000.00",EUR,Offline,DA,NU,34144213-4,Vehicule de stingere a incendiilor (Rev.2)
3302,159845,28.05.2015 01:30,"Institutul de Pneumoftiziologie ""Marius Nasta""",4316180,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"795,600.00",RON,Offline,DA,NU,90524400-0,"Servicii de colectare, de transport si de eliminare a deseurilor spitalicesti (Rev.2)"
3303,159857,28.05.2015 01:30,CONSILIUL JUDETEAN DOLJ,4417150,Dolj,Furnizare,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"5,992,406.87",RON,Offline,DA,DA,48000000-8,Pachete software si sisteme informatice (Rev.2)
3304,159824,28.05.2015 01:30,ADMINISTRATIA NATIONALA  APELE ROMANE,RO 24326056,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"1,444,020.00",RON,Offline,DA,DA,38432200-4,Cromatografe (Rev.2)
3305,159834,28.05.2015 01:30,CN Aeroporturi Bucuresti SA,RO26490194,Ilfov,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"628,350.00",EUR,Offline,DA,NU,50100000-6,Servicii de reparare si de intretinere a vehiculelor si a echipamentelor aferente si servicii conexe (Rev.2)
3306,159831,28.05.2015 01:30,Spitalul Clinic de Urgenta Bucuresti,4505332,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"2,947,875.45",RON,Offline,DA,NU,33140000-3,Consumabile medicale (Rev.2)
3307,159843,28.05.2015 01:30,AGENTIA NATIONALA DE IMBUNATATIRI FUNCIARE,RO 29275212,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"1,393,512.00",RON,Offline,DA,NU,34110000-1,Autoturisme (Rev.2)
3308,159846,28.05.2015 01:30,"INSTITUTUL NATIONAL DE RECUPERARE, MEDICINA FIZICA SI BALNEOCLIMATOLOGIE",4266006,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"2,741,935.48",RON,Offline,DA,NU,33124200-7,Aparate de radiodiagnosticare (Rev.2)
3309,159832,28.05.2015 01:30,ONCO-LIFE CENTER SRL,29920121,Dolj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"7,527,737.60",RON,Online,DA,NU,33652100-6,Antineoplazice (Rev.2)
3310,159849,28.05.2015 01:30,Inspectoratul General pentru Situatii de Urgenta,RO 4203997,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"52,754,032.26",RON,Offline,DA,DA,32236000-6,Radiotelefoane (Rev.2)
3311,159847,28.05.2015 01:30,"SPITALUL DE PSIHIATRIE ""SF. PANTELIMON"" BRAILA",14984313,Braila,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"1,290,015.00",RON,Offline,DA,NU,33661500-6,Psiholeptice (Rev.2)
3312,159837,28.05.2015 01:30,SPITALUL JUDETEAN DE URGENTA PLOIESTI,2844545,Prahova,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"5,696,536.00",RON,Online,DA,NU,33692800-5,Solutii de dializa (Rev.2)
3313,159870,28.05.2015 08:31,UNIVERSITATEA CRAIOVA,4553380,Dolj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"94,406.00",RON,Offline,NU,DA,48000000-8,Pachete software si sisteme informatice (Rev.2)
3314,159880,28.05.2015 08:33,MUNICIPIUL ORADEA,4230487,Bihor,Lucrari,NU,Licitatie deschisa,Pretul cel mai scazut,"2,001,166.17",RON,Offline,NU,DA,45321000-3,Lucrari de izolare termica (Rev.2)
3315,159905,28.05.2015 14:20,ORASUL FAUREI,4343052,Braila,Lucrari,NU,Licitatie deschisa,Pretul cel mai scazut,"22,418,426.00",RON,Online,NU,DA,45233140-2,Lucrari de drumuri (Rev.2)
3316,159852,28.05.2015 14:52,Institutul Oncologic Prof. Dr. I. Chiricuta Cluj-Napoca,4547125,Cluj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"425,300.00",RON,Offline,NU,NU,33192000-2,Mobilier medical (Rev.2)
3317,159854,28.05.2015 14:55,Ministerul Apararii - Unitatea militara 02415 Bucuresti,4183318,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"195,161.29",RON,Online,NU,NU,48820000-2,Servere (Rev.2)
3318,159855,28.05.2015 14:56,"Compania Nationala de Cai Ferate ""CFR"" - SA",RO 11054529,Bucuresti,Lucrari,DA,Licitatie deschisa,Pretul cel mai scazut,"249,850.00",RON,Offline,NU,NU,45234115-5,Lucrari de semnalizare feroviara (Rev.2)
3319,159856,28.05.2015 14:56,"Compania Nationala de Cai Ferate ""CFR"" - SA",RO 11054529,Bucuresti,Lucrari,DA,Licitatie deschisa,Pretul cel mai scazut,"154,420.00",RON,Offline,NU,NU,45234115-5,Lucrari de semnalizare feroviara (Rev.2)
3320,159859,28.05.2015 14:59,"Compania Nationala de Cai Ferate ""CFR"" - SA",RO 11054529,Bucuresti,Furnizare,DA,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"1,020,000.00",RON,Offline,NU,NU,31519100-8,Lampi cu incandescenta (Rev.2)
3321,159851,28.05.2015 15:55,"Compania Nationala de Cai Ferate ""CFR"" - SA",RO 11054529,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"227,944.80",RON,Offline,NU,NU,79713000-5,Servicii de paza (Rev.2)
3322,159858,28.05.2015 15:56,ENEL DISTRIBUTIE MUNTENIA S.A.,RO 14507322,Bucuresti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"991,372.50",RON,Online,NU,NU,35121000-8,Echipament de securitate (Rev.2)
3323,159865,28.05.2015 16:00,"COMPANIA NATIONALA DE TRANSPORT AL ENERGIEI ELECTRICE ""TRANSELECTRICA"" S.A.",RO 13328043,Bucuresti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"402,845.00",RON,Offline,NU,NU,48218000-9,Pachete software pentru gestionarea licentelor (Rev.2)
3324,159866,28.05.2015 16:01,COMPANIA NATIONALA DE AUTOSTRAZI SI DRUMURI NATIONALE DIN ROMANIA SA,16054368,Bucuresti,Lucrari,NU,Licitatie deschisa,Pretul cel mai scazut,"1,612,886.40",RON,Offline,NU,NU,34922100-7,Marcaje rutiere (Rev.2)
3325,159867,28.05.2015 16:02,COMPANIA NATIONALA DE AUTOSTRAZI SI DRUMURI NATIONALE DIN ROMANIA SA,16054368,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"310,262.50",RON,Offline,NU,NU,34928110-2,Parapete rutiere (Rev.2)
3326,159868,28.05.2015 16:04,"COMPANIA NATIONALA DE TRANSPORT AL ENERGIEI ELECTRICE ""TRANSELECTRICA"" S.A.",RO 13328043,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"45,000.00",RON,Offline,NU,NU,50720000-8,Servicii de reparare si de intretinere a incalzirii centrale (Rev.2)
3327,159871,28.05.2015 16:06,ENEL DISTRIBUTIE MUNTENIA S.A.,RO 14507322,Bucuresti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"615,628.20",RON,Online,NU,NU,35120000-1,Sisteme si dispozitive de supraveghere si de securitate (Rev.2)
3328,159877,28.05.2015 16:10,"SNTFC ""CFR CALATORI"" S.A.",RO 11054545,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"27,481.40",RON,Offline,NU,NU,50225000-8,Servicii de intretinere a liniilor de cai ferate (Rev.2)
3329,159861,29.05.2015 01:30,Autoritatea Nationala pentru Administrare si Reglementare in Comunicatii,14751237,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"667,500.00",RON,Offline,DA,NU,38433300-2,Analizoare de spectru (Rev.2)
3330,159874,29.05.2015 01:30,Consiliul Judetean Alba,4562583,Alba,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"1,807,047.60",RON,Offline,DA,NU,15811300-9,Cornuri (Rev.2)
3331,159853,29.05.2015 01:30,Spitalul Clinic de Urgenta Bucuresti,4505332,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"686,232.00",RON,Offline,DA,NU,33140000-3,Consumabile medicale (Rev.2)
3332,159884,29.05.2015 01:30,Compania Nationala Romtehnica S.A.,RO 472771,Bucuresti,Furnizare,NU,Licitatie restransa,Pretul cel mai scazut,"6,828,000.00",RON,Offline,DA,NU,35300000-7,"Arme, munitii si piese conexe (Rev.2)"
3333,159869,29.05.2015 01:30,OMV PETROM S.A,RO 1590082,Bucuresti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"697,608.00",EUR,Offline,DA,NU,31681410-0,Materiale electrice (Rev.2)
3334,159864,29.05.2015 01:30,UNIVERSITATEA CRAIOVA,4553380,Dolj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"2,238,476.00",RON,Offline,DA,DA,38424000-3,Echipament de masurare si de control (Rev.2)
3335,159863,29.05.2015 01:30,"UNIVERSITATEA DE MEDICINA SI FARMACIE ""VICTOR BABES"" TIMISOARA",4269215,Timis,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"748,265.00",RON,Online,DA,NU,33111721-1,Aparate de angiografie digitala (Rev.2)
3336,159873,29.05.2015 01:30,Consiliul Judetean Alba,4562583,Alba,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"3,855,034.88",RON,Offline,DA,NU,15500000-3,Produse lactate (Rev.2)
3337,159883,29.05.2015 01:30,UNITATEA MILITARA 0418 BUCURESTI,4204267,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"1,412,163.00",RON,Offline,DA,DA,72265000-0,Servicii de configurare de software (Rev.2)
3338,159878,29.05.2015 01:30,SECTOR 3 (PRIMARIA SECTOR 3 BUCURESTI),4420465,Bucuresti,Lucrari,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"31,100,745.72",RON,Online,DA,DA,45321000-3,Lucrari de izolare termica (Rev.2)
3339,159888,29.05.2015 01:30,"COMPANIA DE APA ""ARIES"" S.A.",RO 20330054,Cluj,Lucrari,DA,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"1,786,482.00",RON,Offline,DA,DA,45000000-7,Lucrari de constructii (Rev.2)
3340,159860,29.05.2015 01:30,"Compania Nationala de Cai Ferate ""CFR"" - SA",RO 11054529,Bucuresti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"2,500,000.00",RON,Offline,DA,NU,34942000-2,Echipament de semnalizare (Rev.2)
3341,159875,29.05.2015 01:30,MINISTERUL APARARII - UNITATEA MILITARA 02574,4193125,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"1,447,621.52",RON,Offline,DA,NU,44812220-3,Vopsele de apa (Rev.2)
3342,159881,29.05.2015 01:30,"Compania Nationala de Cai Ferate ""CFR"" - SA",RO 11054529,Bucuresti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"2,000,000.00",RON,Offline,DA,NU,31431000-6,Acumulatori cu placi de plumb si acid sulfuric (Rev.2)
3343,159872,29.05.2015 01:30,SPITALUL UNIVERSITAR DE URGENTA ELIAS,4192537,Bucuresti,Furnizare,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"14,173,440.00",RON,Online,DA,NU,33111720-4,Aparate de angiografie (Rev.2)
3344,159882,29.05.2015 01:30,MINISTERUL EDUCATIEI SI CERCETARII STIINTIFICE,13729380,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"9,572,636.00",RON,Offline,DA,DA,72421000-7,Servicii de dezvoltare de aplicatii client internet sau intranet (Rev.2)
3345,159885,29.05.2015 01:30,UNIVERSITATEA POLITEHNICA DIN BUCURESTI,4183199,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"1,964,700.00",RON,Offline,DA,DA,38000000-5,"Echipamente de laborator, optice si de precizie (cu exceptia ochelarilor) (Rev.2)"
3346,159889,29.05.2015 10:29,"Compania Nationala de Cai Ferate ""CFR"" - SA",RO 11054529,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"1,152,878.68",RON,Offline,NU,NU,50225000-8,Servicii de intretinere a liniilor de cai ferate (Rev.2)
3347,159894,29.05.2015 10:50,SERVICIUL PUBLIC PAVAJE SPATII VERZI,13939144,Calarasi,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"218,025.00",RON,Offline,NU,NU,43262100-8,Excavatoare mecanice (Rev.2)
3348,159898,29.05.2015 10:53,"SPITALUL JUDETEAN DE URGENTA""DR. CONSTANTIN OPRIS"" BAIA MARE",3694594,Maramures,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"39,780.00",RON,Offline,NU,NU,50420000-5,Servicii de reparare si de intretinere a echipamentului medical si chirurgical (Rev.2)
3349,159907,29.05.2015 10:55,"Spitalul Clinic de Urgenta pentru Copii ""Grigore Alexandrescu""",4284134,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"394,000.00",RON,Offline,NU,NU,33183100-7,Implanturi ortopedice (Rev.2)
3350,159908,29.05.2015 10:56,Primaria Municipiului Onesti,4353250,Bacau,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"102,618.91",RON,Online,NU,NU,71322000-1,Servicii de proiectare tehnica pentru constructia de lucrari publice (Rev.2)
3351,159910,29.05.2015 11:00,"Compania Nationala de Cai Ferate ""CFR"" - SA",RO 11054529,Bucuresti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"219,145.00",RON,Offline,NU,NU,31000000-6,"Masini, aparate, echipamente si consumabile electrice; iluminat (Rev.2)"
3352,159887,29.05.2015 11:11,HIDROELECTRICA SA,RO 13267213,Bucuresti,Servicii,DA,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"800,000.00",RON,Offline,NU,NU,79314000-8,Studiu de fezabilitate (Rev.2)
3353,159890,29.05.2015 11:11,Regia Autonoma Administratia Patrimoniului Protocolului de Stat Bucuresti,RO 2351555,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"199,584.66",RON,Offline,NU,NU,44100000-1,Materiale de constructii si articole conexe (Rev.2)
3354,159892,29.05.2015 11:14,URBIS S.A. Baia Mare,RO 10250004,Maramures,Furnizare,DA,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"200,000.00",EUR,Offline,NU,NU,34121500-6,Autocare (Rev.2)
3355,159893,29.05.2015 11:14,"COMPANIA NATIONALA ""ADMINISTRATIA PORTURILOR MARITIME"" SA CONSTANTA",11062831,Constanta,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"1,066,650.00",RON,Online,NU,NU,09123000-7,Gaze naturale (Rev.2)
3356,159896,29.05.2015 11:15,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"165,600.00",RON,Online,NU,NU,15710000-8,Furaje preparate pentru animale de ferma sau pentru alte animale (Rev.2)
3357,159900,29.05.2015 11:15,"Compania Nationala de Cai Ferate ""CFR"" - SA",RO 11054529,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"795,400.00",RON,Offline,NU,NU,79713000-5,Servicii de paza (Rev.2)
3358,159902,29.05.2015 11:19,Societatea Nationala de Gaze Naturale Romgaz S.A.,RO 14056826,Sibiu,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"1,492,800.00",RON,Offline,NU,NU,79521000-2,Servicii de fotocopiere (Rev.2)
3359,159904,29.05.2015 11:21,Electrocentrale Bucuresti S.A.,RO 15189596,Bucuresti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"108,765.54",RON,Online,NU,NU,31161700-9,Piese pentru generatoare de aburi (Rev.2)
3360,159906,29.05.2015 11:21,Electrocentrale Bucuresti S.A.,RO 15189596,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"22,162.00",RON,Online,NU,NU,50531000-6,Servicii de reparare si de intretinere a masinilor neelectrice (Rev.2)
3361,159912,29.05.2015 11:22,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"40,000.00",RON,Online,NU,NU,18143000-3,Echipamente de protectie (Rev.2)
3362,159917,29.05.2015 11:23,SOCIETATEA COMPLEXUL ENERGETIC HUNEDOARA S.A.,RO30855230,Hunedoara,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"194,196.00",RON,Offline,NU,NU,09211200-3,Uleiuri pentru compresoare (Rev.2)
3363,159918,29.05.2015 11:24,Societatea Nationala de Gaze Naturale Romgaz S.A.,RO 14056826,Sibiu,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"1,479,406.72",RON,Offline,NU,NU,34300000-0,Piese si accesorii pentru vehicule si pentru motoare de vehicule (Rev.2)
3364,159920,29.05.2015 11:24,"Compania Nationala de Cai Ferate ""CFR"" - SA",RO 11054529,Bucuresti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"42,486.77",RON,Offline,NU,NU,30125100-2,Cartuse de toner (Rev.2)
3365,159921,29.05.2015 11:25,"Compania Nationala de Cai Ferate ""CFR"" - SA",RO 11054529,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"35,000.00",RON,Offline,NU,NU,66516100-1,Servicii de asigurare de raspundere civila auto (Rev.2)
